data,orario,ora,min,sec,PV3_RTD_0_SUD,PV3_RTD_1_EST,PV3_RTD_2_centro,PV3_RTD_3,PV3_max_RTD,PV4_RTD_0,PV4_RTD_1,PV4_RTD_2,PV4_RTD_3,PV4_max_RTD,PV5_RTD_0,PV5_RTD_1,PV5_RTD_2,PV5_RTD_3,PV6_RTD_0,PV6_RTD_1,PV6_RTD_2,PV6_RTD_3,PV6_max_RTD,PV1_RTD_0_SUD,PV1_RTD_1_EST,PV1_RTD_2_centro,PV1_RTD_3,PV2_RTD_0_SUD,PV_RTD_1_EST,PV2_RTD_2_centro,PV2_RTD_3,PV2_max_RTD,ET,after_Sav_data
04/08/2023,00:02:10,0.000000,2.000000,10.000000,22.035917,22.186266,22.059305,-242.027870,22.186266,-242.027870,23.154155,23.269858,23.808366,23.808366,24.482303,-242.027870,23.972593,26.064018,24.234150,23.550366,24.621642,23.686821,24.621642,22.648881,22.288126,22.213842,-242.027870,22.074870,22.031509,21.953872,1255.375790,1255.375790,4.323320,0.001000
04/08/2023,00:02:15,0.000000,2.000000,15.000000,22.026256,22.183046,22.053324,-242.027870,22.183046,1255.184393,23.149552,23.265561,23.808212,1255.184393,24.479539,-242.027870,23.974281,26.068932,24.232769,23.542541,24.620260,23.680220,24.620260,22.646733,22.283676,22.209853,-242.027870,22.066587,22.023073,21.947277,1255.375790,1255.375790,4.616137,0.000000
04/08/2023,00:02:19,0.000000,2.000000,19.000000,22.020122,22.178291,22.046729,1254.963860,1254.963860,-242.027870,23.145255,23.260803,23.806063,23.806063,24.476929,-242.027870,23.970904,26.072925,24.230620,23.541007,24.617037,23.673004,24.617037,22.643972,22.279380,22.207092,1255.530602,22.060145,22.014944,21.940528,1255.375790,1255.375790,4.352432,0.001002
04/08/2023,00:02:24,0.000000,2.000000,24.000000,22.013068,22.170316,22.039521,-242.027870,22.170316,1255.184393,23.144488,23.255739,23.801152,1255.184393,24.471556,-242.027870,23.966914,26.077993,24.228472,23.543309,24.618112,23.673618,24.618112,22.640750,22.276925,22.202337,-242.027870,22.052322,22.007735,21.936540,1255.375790,1255.375790,4.522342,0.000999
04/08/2023,00:02:28,0.000000,2.000000,28.000000,22.006321,22.161727,22.033694,1254.963860,1254.963860,-242.027870,23.147710,23.251134,23.805449,23.805449,24.469099,-242.027870,23.963383,26.081218,24.226324,23.558958,24.622102,23.671008,24.622102,22.638756,22.271862,22.201109,-242.027870,22.047261,21.998839,21.931171,-242.027870,22.047261,4.319323,0.001001
04/08/2023,00:02:32,0.000000,2.000000,32.000000,22.000800,22.154672,22.028326,-242.027870,22.154672,1255.184393,23.149398,23.245609,23.802687,1255.184393,24.465875,-242.027870,23.960467,26.085825,24.224790,23.554049,24.625786,23.669780,24.625786,22.634920,22.268794,22.198655,-242.027870,22.039285,21.992551,21.926263,1255.375790,1255.375790,4.357299,0.000998
04/08/2023,00:02:37,0.000000,2.000000,37.000000,21.996353,22.147003,22.023725,1254.963860,1254.963860,1255.184393,23.152774,23.243154,23.797468,1255.184393,24.462037,-242.027870,23.956477,26.085671,24.222335,23.550980,24.626093,23.670241,24.626093,22.632619,22.264498,22.193439,1255.530602,22.032996,21.985496,21.919361,-242.027870,22.032996,4.474226,0.000999
04/08/2023,00:02:41,0.000000,2.000000,41.000000,21.990219,22.142556,22.020198,-242.027870,22.142556,1255.184393,23.156303,23.238396,23.792402,1255.184393,24.459581,-242.027870,23.951258,26.086900,24.219879,23.543615,24.628702,23.668705,24.628702,22.629398,22.260355,22.185462,1255.530602,22.025941,21.983195,21.913993,1255.375790,1255.375790,4.434308,0.000999
04/08/2023,00:02:46,0.000000,2.000000,46.000000,21.985465,22.141329,22.016824,1254.963860,1254.963860,1255.184393,23.159218,23.234406,23.794244,1255.184393,24.458660,-242.027870,23.948342,26.088589,24.217271,23.551133,24.630697,23.663946,24.630697,22.627710,22.257593,22.178866,1255.530602,22.019192,21.978440,21.910465,1255.375790,1255.375790,4.571166,0.001000
04/08/2023,00:02:50,0.000000,2.000000,50.000000,21.981632,22.137188,22.012223,1254.963860,1254.963860,1255.184393,23.161980,23.230109,23.794091,1255.184393,24.454361,-242.027870,23.943584,26.090125,24.214509,23.549753,24.634995,23.659494,24.634995,22.624795,22.254064,22.173804,-242.027870,22.013210,21.973839,21.907091,-242.027870,22.013210,4.302332,0.001000
04/08/2023,00:02:55,0.000000,2.000000,55.000000,21.978871,22.135194,22.006089,-242.027870,22.135194,1255.184393,23.158298,23.224584,23.791481,1255.184393,24.451751,-242.027870,23.940207,26.089664,24.212821,23.547605,24.634842,23.655502,24.634842,22.622801,22.250996,22.170736,-242.027870,22.007229,21.969238,21.901109,-242.027870,22.007229,4.355459,0.000000
04/08/2023,00:02:59,0.000000,2.000000,59.000000,21.974884,22.130900,22.001795,-242.027870,22.130900,1255.184393,23.155689,23.219672,23.785342,1255.184393,24.446685,-242.027870,23.934835,26.091046,24.209906,23.541774,24.633153,23.652278,24.633153,22.620039,22.246239,22.165060,1255.530602,22.003548,21.965557,21.897121,-242.027870,22.003548,4.542184,0.000999
04/08/2023,00:03:04,0.000000,3.000000,4.000000,21.970897,22.127065,21.996734,1254.963860,1254.963860,-242.027870,23.155996,23.215989,23.787490,23.787490,24.439623,-242.027870,23.931458,26.093811,24.206990,23.550980,24.636069,23.649669,24.636069,22.617431,22.241330,22.159538,1255.530602,21.998946,21.963870,21.893440,-242.027870,21.998946,4.522198,0.000999
04/08/2023,00:03:08,0.000000,3.000000,8.000000,21.970590,22.122618,21.992133,1254.963860,1254.963860,-242.027870,23.158144,23.211385,23.783039,23.783039,24.438702,-242.027870,23.930077,26.095807,24.206070,23.554509,24.640060,23.648594,24.640060,22.614823,22.239182,22.156470,-242.027870,21.998333,21.964483,21.889912,-242.027870,21.998333,4.342309,0.000998
04/08/2023,00:03:12,0.000000,3.000000,12.000000,21.968904,22.117710,21.986766,1254.963860,1254.963860,1255.184393,23.160139,23.207088,23.778895,1255.184393,24.436706,-242.027870,23.927314,26.097189,24.205763,23.547298,24.643283,23.644449,24.643283,22.611755,22.235039,22.157390,-242.027870,21.998486,21.962796,21.887151,1255.375790,1255.375790,4.338413,0.000998
